Position,Bar,Beat,Tick,Type,Channel,Note,Note_Name,Velocity,Duration_Ticks,Off_Position,Controller,Value
35.4.0,35,4,0,Meta_set_tempo,,,,,,,,285714
36.1.0,36,1,0,Meta_set_tempo,,,,,,,,285714
36.2.0,36,2,0,Meta_set_tempo,,,,,,,,285714
36.3.0,36,3,0,Meta_set_tempo,,,,,,,,285714
36.4.0,36,4,0,Meta_set_tempo,,,,,,,,285714
37.1.0,37,1,0,Meta_set_tempo,,,,,,,,285714
37.2.0,37,2,0,Meta_set_tempo,,,,,,,,285714
37.3.0,37,3,0,Meta_set_tempo,,,,,,,,285714
37.4.0,37,4,0,Meta_set_tempo,,,,,,,,285714
38.1.0,38,1,0,Meta_set_tempo,,,,,,,,285714
38.2.0,38,2,0,Meta_set_tempo,,,,,,,,285714
38.3.0,38,3,0,Meta_set_tempo,,,,,,,,285714
38.4.0,38,4,0,Meta_set_tempo,,,,,,,,285714
39.1.0,39,1,0,Meta_set_tempo,,,,,,,,285714
39.2.0,39,2,0,Meta_set_tempo,,,,,,,,285714
39.3.0,39,3,0,Meta_set_tempo,,,,,,,,285714
39.4.0,39,4,0,Meta_set_tempo,,,,,,,,285714
40.1.0,40,1,0,Meta_set_tempo,,,,,,,,285714
40.2.0,40,2,0,Meta_set_tempo,,,,,,,,285714
40.3.0,40,3,0,Meta_set_tempo,,,,,,,,285714
40.4.0,40,4,0,Meta_set_tempo,,,,,,,,285714
41.1.0,41,1,0,Meta_set_tempo,,,,,,,,285714
41.2.0,41,2,0,Meta_set_tempo,,,,,,,,285714
41.3.0,41,3,0,Meta_set_tempo,,,,,,,,285714
41.4.0,41,4,0,Meta_set_tempo,,,,,,,,285714
42.1.0,42,1,0,Meta_set_tempo,,,,,,,,285714
42.2.0,42,2,0,Meta_set_tempo,,,,,,,,285714
42.3.0,42,3,0,Meta_set_tempo,,,,,,,,285714
42.4.0,42,4,0,Meta_set_tempo,,,,,,,,285714
43.1.0,43,1,0,Meta_set_tempo,,,,,,,,292741
43.1.0,43,1,0,Meta_set_tempo,,,,,,,,300000
43.2.0,43,2,0,Meta_set_tempo,,,,,,,,300000
43.3.0,43,3,0,Meta_set_tempo,,,,,,,,300000
43.4.0,43,4,0,Meta_set_tempo,,,,,,,,300000
44.1.0,44,1,0,Meta_set_tempo,,,,,,,,300000
44.2.0,44,2,0,Meta_set_tempo,,,,,,,,300000
44.3.0,44,3,0,Meta_set_tempo,,,,,,,,300000
44.4.0,44,4,0,Meta_set_tempo,,,,,,,,300000
45.1.0,45,1,0,Meta_set_tempo,,,,,,,,300000
45.2.0,45,2,0,Meta_set_tempo,,,,,,,,300000
45.3.0,45,3,0,Meta_set_tempo,,,,,,,,300000
45.4.0,45,4,0,Meta_set_tempo,,,,,,,,300000
46.1.0,46,1,0,Meta_set_tempo,,,,,,,,300000
46.2.0,46,2,0,Meta_set_tempo,,,,,,,,300000
46.3.0,46,3,0,Meta_set_tempo,,,,,,,,300000
46.4.0,46,4,0,Meta_set_tempo,,,,,,,,300000
47.1.0,47,1,0,Meta_set_tempo,,,,,,,,300000
47.2.0,47,2,0,Meta_set_tempo,,,,,,,,300000
47.3.0,47,3,0,Meta_set_tempo,,,,,,,,300000
47.4.0,47,4,0,Meta_set_tempo,,,,,,,,300000
48.1.0,48,1,0,Meta_set_tempo,,,,,,,,300000
48.2.0,48,2,0,Meta_set_tempo,,,,,,,,300000
48.3.0,48,3,0,Meta_set_tempo,,,,,,,,300000
48.4.0,48,4,0,Meta_set_tempo,,,,,,,,300000
49.1.0,49,1,0,Meta_set_tempo,,,,,,,,300000
49.2.0,49,2,0,Meta_set_tempo,,,,,,,,300000
49.3.0,49,3,0,Meta_set_tempo,,,,,,,,300000
49.4.0,49,4,0,Meta_set_tempo,,,,,,,,300000
50.1.0,50,1,0,Meta_set_tempo,,,,,,,,300000
50.2.0,50,2,0,Meta_set_tempo,,,,,,,,300000
50.3.0,50,3,0,Meta_set_tempo,,,,,,,,300000
50.4.0,50,4,0,Meta_set_tempo,,,,,,,,300000
51.1.0,51,1,0,Meta_set_tempo,,,,,,,,300000
51.2.0,51,2,0,Meta_set_tempo,,,,,,,,300000
51.3.0,51,3,0,Meta_set_tempo,,,,,,,,300000
51.4.0,51,4,0,Meta_set_tempo,,,,,,,,300000
52.1.0,52,1,0,Meta_set_tempo,,,,,,,,300000
52.2.0,52,2,0,Meta_set_tempo,,,,,,,,300000
52.3.0,52,3,0,Meta_set_tempo,,,,,,,,300000
52.4.0,52,4,0,Meta_set_tempo,,,,,,,,300000
53.1.0,53,1,0,Meta_set_tempo,,,,,,,,300000
53.2.0,53,2,0,Meta_set_tempo,,,,,,,,300000
53.3.0,53,3,0,Meta_set_tempo,,,,,,,,300000
53.4.0,53,4,0,Meta_set_tempo,,,,,,,,300000
54.1.0,54,1,0,Meta_set_tempo,,,,,,,,300000
54.2.0,54,2,0,Meta_set_tempo,,,,,,,,300000
54.3.0,54,3,0,Meta_set_tempo,,,,,,,,300000
54.4.0,54,4,0,Meta_set_tempo,,,,,,,,300000
55.1.0,55,1,0,Meta_set_tempo,,,,,,,,300000
55.2.0,55,2,0,Meta_set_tempo,,,,,,,,300000
55.3.0,55,3,0,Meta_set_tempo,,,,,,,,300000
55.4.0,55,4,0,Meta_set_tempo,,,,,,,,300000
56.1.0,56,1,0,Meta_set_tempo,,,,,,,,300000
56.2.0,56,2,0,Meta_set_tempo,,,,,,,,300000
56.3.0,56,3,0,Meta_set_tempo,,,,,,,,300000
56.4.0,56,4,0,Meta_set_tempo,,,,,,,,300000
57.1.0,57,1,0,Meta_set_tempo,,,,,,,,300000
57.2.0,57,2,0,Meta_set_tempo,,,,,,,,300000
57.3.0,57,3,0,Meta_set_tempo,,,,,,,,300000
57.4.0,57,4,0,Meta_set_tempo,,,,,,,,300000
58.1.0,58,1,0,Meta_set_tempo,,,,,,,,300000
58.2.0,58,2,0,Meta_set_tempo,,,,,,,,300000
58.3.0,58,3,0,Meta_set_tempo,,,,,,,,300000
58.4.0,58,4,0,Meta_set_tempo,,,,,,,,300000
59.1.0,59,1,0,Meta_set_tempo,,,,,,,,300000
59.2.0,59,2,0,Meta_set_tempo,,,,,,,,300000
59.3.0,59,3,0,Meta_set_tempo,,,,,,,,300000
59.4.0,59,4,0,Meta_set_tempo,,,,,,,,300000
60.1.0,60,1,0,Meta_set_tempo,,,,,,,,300000
60.2.0,60,2,0,Meta_set_tempo,,,,,,,,300000
